sample,found,gene_id,tpm_unstranded,fpkm_unstranded,fpkm_uq_unstranded,unstranded_count,stranded_first,stranded_second
3c00f619-f9c3-4747-88bc-359e9ddec812,True,ENSG00000133019.12,1.8143,0.5511,0.5591,464,230,234
2660e6c6-b4c6-4d29-b048-4ce588b9e1e2,True,ENSG00000133019.12,5.2145,1.4817,1.6014,1265,657,609
afc66963-6f8d-4d99-a008-d44065e1cacf,True,ENSG00000133019.12,0.6514,0.1788,0.1697,140,71,70
51c0568a-3e54-42a0-b805-0a90905cc865,True,ENSG00000133019.12,5.1547,1.3495,1.2974,1229,584,648
51054c11-8e2f-4f52-bdaf-ebb515508a28,True,ENSG00000133019.12,0.189,0.0534,0.0518,56,28,29
24678a85-dba7-4e0f-8ba8-feeb0652681c,True,ENSG00000133019.12,1.718,0.8797,0.9879,87,51,36
bf98764d-1604-4a14-8e06-1c785a085db9,True,ENSG00000133019.12,0.1057,0.0384,0.0401,35,21,14
e9e8d1d1-1c59-4cd5-9059-740733d094e1,True,ENSG00000133019.12,0.7016,0.9435,0.9686,386,0,387
d4852a8f-4e8a-4751-adb1-6073241faff6,True,ENSG00000133019.12,1.6528,1.6466,1.5882,808,0,811
69531d59-6508-4074-a63a-27b047121681,True,ENSG00000133019.12,0.1657,0.0475,0.047,34,14,20
858726eb-4770-4a63-ab51-39aa93b449f6,True,ENSG00000133019.12,0.6804,0.2019,0.1879,65,28,37
9ce2bb36-5b1e-4a58-bc5e-dc072b217ba4,True,ENSG00000133019.12,3.7033,1.1706,1.141,309,136,173
4a5c811e-d5d9-48d7-9bcc-4c9dc72df8f4,True,ENSG00000133019.12,2.4426,0.785,0.7577,443,233,214
5daf6c21-bca3-4440-95d1-b4dc239f7911,True,ENSG00000133019.12,2.0694,0.7417,0.7573,537,261,279
269a7c8d-f4d6-4f1a-a85b-874934f214b9,True,ENSG00000133019.12,0.0508,0.0167,0.0208,7,1,6
5d90192a-0271-4169-ba9d-e52cf081a5c3,True,ENSG00000133019.12,1.5632,0.4059,0.382,311,148,163
bbbd3cd5-cfd3-418b-ab3a-243de430a5e1,True,ENSG00000133019.12,0.3345,0.099,0.0993,88,43,47
3ba4be06-32ea-47aa-9f6f-2f4befd1bd6b,True,ENSG00000133019.12,2.5538,0.7418,0.7171,546,272,274
f8670621-43a9-491c-81b7-8999ca9975a7,True,ENSG00000133019.12,0.2895,0.0915,0.0899,96,46,51
fe20855f-d3ce-4e02-b2dd-3df15eab44bf,True,ENSG00000133019.12,0.3318,0.1051,0.117,73,33,40
efb97bb0-e227-4826-aaa7-ef0503f2cf5f,True,ENSG00000133019.12,1.113,0.3663,0.4016,434,224,210
2f3ed4ce-16b8-447d-9b18-d1e95d21de76,True,ENSG00000133019.12,4.9214,1.4126,1.4218,773,369,405
74f3f3cb-d6f1-4e4f-8c76-7ebeefa0dbcf,True,ENSG00000133019.12,7.2171,2.2197,2.3749,1669,845,827
9d85ecd9-deef-474f-8dca-7fbbee531e7f,True,ENSG00000133019.12,0.1633,0.0528,0.0601,47,23,24
334cc9fa-3e9b-4462-b84d-dc595e89d537,True,ENSG00000133019.12,2.6413,0.8668,0.807,586,286,301
22cae278-eb88-4685-9ff7-667e53b50a34,True,ENSG00000133019.12,0.2863,0.0891,0.0927,95,58,51
c0694ad0-b4f2-43c4-aef4-aa60c2f5baea,True,ENSG00000133019.12,1.2164,0.3985,0.4031,362,185,179
7c651197-9519-4ef2-85c9-16f05edb6a86,True,ENSG00000133019.12,1.1681,0.5586,0.4876,336,1,342
1098101e-1770-4055-ae41-d6c15e1c7b90,True,ENSG00000133019.12,2.2757,0.6091,0.5811,391,199,192
6c3a9d0b-5d61-41d0-b54c-432f33122a25,True,ENSG00000133019.12,1.2057,0.3662,0.3442,287,5,286
2dea7278-7221-43e6-bf22-713777beb618,True,ENSG00000133019.12,4.2355,1.558,1.8145,1230,591,639
475fdbbb-3d3a-4d56-8d0e-34dfb8cb6346,True,ENSG00000133019.12,0.0426,0.0208,0.022,17,13,4
a14f02d4-6d07-409d-af7a-5d5f23640ad6,True,ENSG00000133019.12,0.0978,0.0354,0.0398,33,29,11
6f920efc-b660-43cc-b969-8d445c252004,True,ENSG00000133019.12,2.1199,0.6917,0.7482,453,270,229
bac4b715-8e3a-4a2b-888e-7eb382f47a5c,True,ENSG00000133019.12,1.4335,0.3807,0.3773,275,3,274
cf56d43d-5384-4eb9-b4e0-d6c4bef5eb0a,True,ENSG00000133019.12,0.184,0.0513,0.0493,49,26,25
f4633f46-6081-4ab3-a53c-9497df3c4616,True,ENSG00000133019.12,0.2174,0.0882,0.1311,51,28,26
1f117018-33ca-4b04-89cc-e5594656a4ba,True,ENSG00000133019.12,4.7799,1.6668,1.8184,1690,815,882
1f911a28-0d7a-4f57-b358-cc6277b2008b,True,ENSG00000133019.12,3.3804,1.0798,1.1122,1136,601,541
647ec81e-775b-42ad-bd83-286dfc4f91dd,True,ENSG00000133019.12,1.0482,0.3811,0.3957,195,88,107
4b98f37e-33fc-4bf0-b6cd-4c900bcc9d2a,True,ENSG00000133019.12,0.2781,0.0817,0.0837,100,40,61
38259364-ebcb-4f5f-8471-8ffe7e3267a7,True,ENSG00000133019.12,0.0536,0.021,0.0202,8,4,4
094bd0ca-5f46-4ff7-b674-04c5b9001951,True,ENSG00000133019.12,7.1607,2.0459,1.9803,960,521,441
2877f6c0-649f-44d2-89a1-4a6ef2c8ec19,True,ENSG00000133019.12,0.0932,0.0329,0.035,28,10,18
f881311a-b8fb-4a72-ac39-5fe6becbbf7b,True,ENSG00000133019.12,1.2819,0.3992,0.4141,288,150,138
dd578d7c-9577-4bda-a1b1-1fd063206537,True,ENSG00000133019.12,3.0049,1.0918,1.1697,607,287,322
f88df5aa-1c0c-4318-83a0-4b2230a4814b,True,ENSG00000133019.12,10.9942,4.6452,4.3412,3650,3,3670
bc89c589-8a4f-4df9-963b-9d7a2cdedbdd,True,ENSG00000133019.12,0.1733,0.069,0.0765,63,31,32
dde6631e-ef66-4db4-a7cb-be94f4b9c4fd,True,ENSG00000133019.12,5.0635,1.6993,1.6765,774,391,385
1876b908-e911-464f-be23-2b4eae0a43b6,True,ENSG00000133019.12,0.712,0.2541,0.2555,156,71,86
6bf81928-1d79-4e7f-90e2-2ce92d23a889,True,ENSG00000133019.12,1.7479,0.5416,0.6098,489,247,243
01947597-c83a-4c5d-8a45-f1fe27992ad5,True,ENSG00000133019.12,5.141,1.573,1.4455,894,451,445
36c7d3a4-193f-49fd-b367-e7aacc4eebe2,True,ENSG00000133019.12,0.1116,0.0596,0.0558,32,3,31
d0d8533b-7284-49cb-96ff-f0145017084d,True,ENSG00000133019.12,0.0667,0.0317,0.0382,19,10,9
05e5accb-e761-4534-a81e-bf0354f7810c,True,ENSG00000133019.12,0.4725,0.1396,0.1549,110,68,45
69add746-94ce-4b57-bf7a-f80bf10bdc01,True,ENSG00000133019.12,1.8674,0.6298,0.6059,269,127,142
720ff723-a1db-483d-9b73-01e15068351f,True,ENSG00000133019.12,9.5073,2.9515,2.935,1737,883,856
748f006b-11dc-4a2f-b857-705e19b511a0,True,ENSG00000133019.12,0.182,0.0692,0.0793,48,22,26
c073adc8-e8a4-4c94-9737-4286c37c2e3e,True,ENSG00000133019.12,0.3841,0.1,0.0929,77,33,44
ec8b5d60-3513-4a7b-9f91-440ec0516150,True,ENSG00000133019.12,3.6712,1.3073,1.2029,1243,3,1242
39f91c2c-9527-4185-aa04-eb42e7fab7c1,True,ENSG00000133019.12,0.2656,0.0721,0.0842,46,24,22
30b0aa88-4e4f-4c03-8d48-6346abb93415,True,ENSG00000133019.12,0.891,0.2636,0.2585,200,108,96
80f240dd-0e19-47f3-a454-60bf0f1e0d71,True,ENSG00000133019.12,4.6772,1.5619,1.5483,443,222,221
58b3d72d-6cff-4c5c-9317-13d88cd17b79,True,ENSG00000133019.12,0.2671,0.1018,0.1168,74,50,24
6b7ab5c5-620a-4cc3-a6dc-69e4aa8ac3f0,True,ENSG00000133019.12,0.0974,0.0578,0.0599,40,0,40
e2740bdf-ff53-485c-8c3d-7b0fc34688c2,True,ENSG00000133019.12,0.0484,0.0174,0.0196,10,7,5
18be89fe-3383-45a2-9c0e-b1246e88c82d,True,ENSG00000133019.12,2.9925,1.0826,1.1519,1158,579,583
c5edc8d9-bae8-4841-802c-919dc0d4c055,True,ENSG00000133019.12,7.6145,2.3509,2.3384,1511,748,771
f93cd112-520d-408d-a15d-3451f2bacdfd,True,ENSG00000133019.12,5.0954,1.9774,1.834,314,147,169
08239799-b042-41c2-90cd-6a0dad35e54d,True,ENSG00000133019.12,3.254,0.9923,0.9265,592,291,302
